#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-09-13T21:38:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9ad8a317a66
#INFO	-out.max=unlimited
#INFO	queryParameters=33
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/141/166&tab:{J/AJ/141/166/vars}&key:source=J/AJ/141/166/vars&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/141/166/vars
#-order=I
#-out=HAT
#-out=n_HAT
#-out=pmRA
#-out=pmDE
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=Vmag
#-out=r_Vmag
#-out=Pe
#-out=dR.e1
#-out=dR.e2
#-out=Qe
#-out=Pt
#-out=dR.t1
#-out=dR.t2
#-out=Qt
#-out=N
#-out=2M
#2M=2M
#-out=Simbad
#Simbad=Simbad
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_51410166
#Name: J/AJ/141/166
#Title: HATNet variability survey of K and M dwarfs (Hartman+, 2011)
#Table	J_AJ_141_166_vars:
#Name: J/AJ/141/166/vars
#Title: Catalog of periodic variables (table6)
#Column	HAT	(A11)	HAT designation (FFF-NNNNNNN)	[ucd=meta.id,meta.main]
#Column	n_HAT	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	pmRA	(F8.2)	PPMX Proper motion in Right Ascension	[ucd=pos.pm,pos.eq.ra]
#Column	pmDE	(F8.2)	PPMX Proper motion in Declination	[ucd=pos.pm,pos.eq.dec]
#Column	Jmag	(F7.3)	2MASS J apparent magnitude	[ucd=phot.mag,em.IR.J]
#Column	Hmag	(F7.3)	2MASS H apparent magnitude	[ucd=phot.mag,em.IR.H]
#Column	Kmag	(F7.3)	2MASS Ks apparent magnitude	[ucd=phot.mag,em.IR.K]
#Column	Vmag	(F7.3)	Magnitude (apparent) in V filter	[ucd=phot.mag,em.opt.V]
#Column	r_Vmag	(I1)	[0/2] Source for Vmag (G1)	[ucd=meta.ref,pos.frame]
#Column	Pe	(F10.6)	? Period from AH applied to the EPD light curves (1)	[ucd=time.period]
#Column	dR.e1	(F6.3)	? R Amplitude of EPD lc phased at Pe (2)	[ucd=phot.mag,em.opt.R]
#Column	dR.e2	(F6.3)	? R Amplitude of TFA lc phased at Pe (2)	[ucd=phot.mag,em.opt.R]
#Column	Qe	(I1)	[0/2] Quality flag for AH/EPD (3)	[ucd=meta.code.qual]
#Column	Pt	(F10.6)	? Period from AH applied to the TFA light curves (1)	[ucd=time.period]
#Column	dR.t1	(F6.3)	? R Amplitude of EPD lc phased at Pt (2)	[ucd=phot.mag,em.opt.R]
#Column	dR.t2	(F6.3)	? R Amplitude of TFA lc phased at Pt (2)	[ucd=phot.mag,em.opt.R]
#Column	Qt	(I1)	[0/2] Quality flag for AH/TFA, 0=ok (3)	[ucd=meta.code.qual]
#Column	N	(I2)	Number of other 2MASS sources within 30" of the source	[ucd=meta.number]
#Column	2M	(A2)	Display details of the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A11)	2MASS Right Ascension J2000	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A11)	2MASS Declination J2000	[ucd=pos.eq.dec,meta.main]
# , ,mas/yr,mas/yr,mag,mag,mag,mag, ,d,mag,mag, ,d,mag,mag, , , , ,"h:m:s","d:m:s"
#-----------,-,--------,--------,-------,-------,-------,-------,-,----------,------,------,-,----------,------,------,-,--,--,------,-----------,-----------
HAT,n_HAT,pmRA,pmDE,Jmag,Hmag,Kmag,Vmag,r_Vmag,Pe,dR.e1,dR.e2,Qe,Pt,dR.t1,dR.t2,Qt,N,2M,Simbad,RAJ2000,DEJ2000
182-0000820,X,  -74.21,  -19.81,  9.831,  9.178,  9.006, 12.572,1,          ,      ,      ,2,  9.506533,      ,      ,0, 0,2M,Simbad,10 35 08.60,+33 49 50.0
182-0000972, ,   33.88,  -80.91, 10.016,  9.362,  9.159, 13.220,1,          ,      ,      ,2, 20.308353,      ,      ,0, 0,2M,Simbad,10 42 00.39,+37 49 10.2
182-0001024, ,  -35.00,  -69.61, 10.207,  9.560,  9.429, 12.025,1,  7.304563,      ,      ,0,          ,      ,      ,2, 2,2M,Simbad,10 55 23.66,+34 19 26.5
182-0001064, ,  121.21, -327.90, 10.087,  9.425,  9.182, 13.908,0,  0.297330, 0.009, 0.007,0,          ,      ,      ,2, 0,2M,Simbad,10 39 00.90,+40 22 26.4
182-0001099, ,  -72.36,   -1.40, 10.287,  9.646,  9.490, 12.786,1, 31.265366,      ,      ,1, 30.756097,      ,      ,1, 0,2M,Simbad,10 52 35.13,+36 48 07.4
182-0001105, ,  -19.85,  -35.80, 10.238,  9.586,  9.402, 12.452,1,          ,      ,      ,2,  4.991500,      ,      ,0, 1,2M,Simbad,10 39 47.47,+38 43 52.7
182-0001247,X,  -86.47,  -62.76, 10.371,  9.749,  9.519, 14.173,1,          ,      ,      ,2,  0.448730,      ,      ,0, 0,2M,Simbad,10 41 54.13,+34 44 44.9
182-0001260, ,  -67.91,   33.39, 10.481,  9.859,  9.692, 13.563,1,          ,      ,      ,2,  7.138708,      ,      ,0, 1,2M,Simbad,10 44 20.14,+35 40 25.2
182-0001575, ,  -84.52,  -26.27, 10.860, 10.229, 10.085, 13.615,1,          ,      ,      ,2, 25.716951,      ,      ,1, 0,2M,Simbad,10 45 30.39,+34 16 31.3
182-0001786, ,  -50.77,  -27.97, 10.939, 10.285, 10.093, 13.958,1,  1.800541, 0.022, 0.020,0,  1.794434, 0.024, 0.020,0, 0,2M,Simbad,10 37 01.51,+40 54 31.8
182-0001788, ,  -33.62,   -1.17, 10.991, 10.360, 10.184, 13.752,1,          ,      ,      ,2, 16.396979,      ,      ,0, 0,2M,Simbad,10 28 29.77,+37 08 29.3
182-0002092, ,  -12.31,  -63.24, 11.169, 10.542, 10.333, 14.195,1,          ,      ,      ,2,  0.669374,      ,      ,0, 0,2M,Simbad,10 46 45.29,+39 45 57.8
182-0002552, ,   35.36,  -34.65, 11.447, 10.777, 10.597, 14.122,1,  2.816969,      ,      ,0,  2.827867,      ,      ,0, 0,2M,Simbad,10 53 31.91,+35 36 34.1
182-0003183, ,   -2.29,  -60.74, 11.819, 11.183, 11.028, 14.571,1,  3.058504, 0.076, 0.062,0,  3.052786, 0.075, 0.059,0, 0,2M,Simbad,10 33 34.70,+40 46 15.9
182-0003191, ,  -39.38,  -20.84, 11.846, 11.224, 11.075, 14.264,1, 28.361067, 0.088, 0.021,1,          ,      ,      ,2, 0,2M,Simbad,10 38 11.83,+39 35 31.3
182-0003208, ,  -46.45,    0.43, 11.793, 11.169, 10.982, 14.520,1,          ,      ,      ,2,  7.960216,      ,      ,0, 0,2M,Simbad,10 32 51.63,+38 46 57.2
182-0003648, ,  -51.21,  -13.15, 11.997, 11.380, 11.199, 14.619,1,          ,      ,      ,2,  0.908698,      ,      ,0, 1,2M,Simbad,10 33 21.81,+37 35 47.6
182-0003895, ,  -47.26,   -8.47, 12.039, 11.357, 11.186, 15.536,1,  3.709091,      ,      ,0,  3.709644,      ,      ,0, 0,2M,Simbad,10 51 13.53,+40 31 58.2
182-0004320, ,  -49.84,    0.68, 12.310, 11.688, 11.545, 14.634,1,          ,      ,      ,2,  3.048615,      ,      ,0, 2,2M,Simbad,10 24 44.87,+37 38 49.9
182-0006221, ,   12.09,  -28.77, 12.825, 12.130, 12.011, 15.279,1,          ,      ,      ,2,  0.102722,      ,      ,0, 0,2M,Simbad,10 48 58.82,+34 28 30.4
182-0006422, ,  -37.72,   -8.02, 12.783, 12.109, 11.909, 15.165,1,          ,      ,      ,2,  1.555364,      ,      ,0, 1,2M,Simbad,10 51 35.69,+39 36 20.6
183-0000175, , -197.34,  -69.31,  8.025,  7.372,  7.221, 10.701,0,          ,      ,      ,2,  8.924165, 0.008, 0.005,0, 1,2M,Simbad,11 04 15.91,+40 00 16.6
183-0000204, ,  -98.73,   46.47,  8.292,  7.694,  7.538, 10.732,0, 21.640938, 0.013, 0.005,0, 21.434363, 0.013, 0.005,0, 0,2M,Simbad,11 07 55.22,+40 12 16.5
183-0000276, , -142.55,  -56.06,  8.572,  7.925,  7.733, 11.884,1,          ,      ,      ,2, 21.854075,      ,      ,1, 0,2M,Simbad,11 26 37.57,+37 56 23.8
183-0000418, ,   79.22, -232.49,  8.974,  8.355,  8.044, 12.949,0,  1.015950, 0.018, 0.007,0, 63.199794, 0.018, 0.012,0, 1,2M,Simbad,11 15 26.59,+41 05 16.3
183-0000436, ,  181.98,  -61.55,  9.258,  8.653,  8.489, 11.759,0,          ,      ,      ,2, 29.369677,      ,      ,1, 0,2M,Simbad,11 19 19.76,+36 29 47.9
183-0000450, ,  -17.01,  -92.55,  9.220,  8.572,  8.390, 11.909,1, 18.056610,      ,      ,0, 17.321829,      ,      ,1, 1,2M,Simbad,11 01 29.29,+38 15 52.9
183-0000536, , -103.55,  -91.29,  9.437,  8.831,  8.615, 13.026,1,          ,      ,      ,2, 25.521022,      ,      ,1, 0,2M,Simbad,11 03 42.45,+36 31 47.4
183-0000575,X, -191.20,   52.16,  9.464,  8.909,  8.631, 13.448,1,  2.056921,      ,      ,0,  2.056921,      ,      ,0, 0,2M,Simbad,11 03 10.00,+36 39 08.5
183-0000624, , -171.27, -377.40,  9.650,  9.055,  8.853, 13.215,1, 55.040825,      ,      ,0,          ,      ,      ,2, 1,2M,Simbad,11 05 33.85,+34 14 36.1
183-0000638, , -291.86, -141.61,  9.648,  9.039,  8.826, 12.990,1,          ,      ,      ,2, 26.193353,      ,      ,0, 0,2M,Simbad,11 21 48.61,+39 02 04.4
183-0000725, ,  -87.93,  -14.84,  9.897,  9.284,  9.125, 12.695,0, 12.745204,      ,      ,0, 15.661480,      ,      ,0, 0,2M,Simbad,11 15 52.69,+37 56 19.1
183-0000803, ,  120.84,  -27.25,  9.848,  9.148,  8.929, 13.595,1, 43.317606, 0.008, 0.002,1,          ,      ,      ,2, 0,2M,Simbad,11 15 21.96,+39 56 59.9
183-0000824,X,  115.40,  -10.11,  9.928,  9.393,  9.089, 14.180,1,          ,      ,      ,2,  0.474927,      ,      ,0, 1,2M,Simbad,11 24 04.35,+38 08 10.9
183-0000947, ,  -33.94, -104.65, 10.072,  9.452,  9.191, 13.891,1, 45.762291, 0.019, 0.009,1, 47.205342, 0.019, 0.010,1, 1,2M,Simbad,11 09 35.13,+41 09 34.8
183-0001137,X,  -87.25,  -54.01, 10.402,  9.785,  9.565, 14.309,1,  1.126904, 0.038, 0.025,0,  1.126773, 0.038, 0.022,1, 0,2M,Simbad,11 10 56.25,+40 20 42.8
183-0001262, ,  -52.06,  -49.14, 10.553,  9.895,  9.716, 13.478,1,          ,      ,      ,2, 15.930686, 0.012, 0.005,0, 0,2M,Simbad,11 24 59.73,+39 43 29.2
183-0001274, ,  -27.82,   18.60, 10.596,  9.913,  9.772, 13.582,1,          ,      ,      ,2, 13.888337,      ,      ,0, 1,2M,Simbad,11 11 34.05,+39 06 34.8
183-0001315, , -154.99,  -17.72, 10.543,  9.935,  9.678, 13.967,1, 23.490059,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,11 06 52.67,+35 51 50.2
183-0001327, , -238.97,  -22.15, 10.575,  9.985,  9.726, 14.918,0,  2.719640,      ,      ,0,  2.720423,      ,      ,0, 0,2M,Simbad,11 02 25.43,+35 24 58.0
183-0001351, , -218.57, -181.69, 10.550,  9.946,  9.668, 14.508,1,          ,      ,      ,2, 78.395912,      ,      ,1, 0,2M,Simbad,11 26 32.59,+37 11 02.1
183-0001371, ,   50.20,  -73.38, 10.554,  9.915,  9.651, 14.414,1,          ,      ,      ,2, 23.224983, 0.016, 0.007,0, 0,2M,Simbad,11 14 10.26,+40 25 42.8
183-0001374, ,   59.49,  -52.41, 10.712, 10.086,  9.916, 13.526,1,  1.300133,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,11 06 35.75,+33 48 49.4
183-0001482, , -115.73,  -68.15, 10.751, 10.213,  9.940, 14.773,1,  0.256729, 0.017, 0.014,0,  0.256730, 0.017, 0.014,0, 0,2M,Simbad,11 07 18.07,+40 50 11.0
183-0001505, ,  -83.91, -106.81, 10.736, 10.093,  9.873, 14.263,1,          ,      ,      ,2, 43.446549, 0.014, 0.007,0, 0,2M,Simbad,11 11 16.98,+40 24 11.8
183-0001630, ,   26.64,  -77.10, 10.946, 10.330, 10.171, 13.486,1, 12.762425,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,11 09 43.53,+37 45 18.3
183-0001742, ,  317.69, -175.64, 10.890, 10.370, 10.036, 14.139,1,          ,      ,      ,2,  4.764440, 0.018, 0.012,0, 1,2M,Simbad,11 15 55.46,+40 49 57.0
183-0001903, ,  -85.00,    6.08, 11.078, 10.460, 10.248, 14.440,1,          ,      ,      ,2,  2.326728,      ,      ,0, 0,2M,Simbad,11 21 41.43,+34 13 25.9
183-0001921, ,   15.87,  -60.64, 11.175, 10.526, 10.393, 13.901,1, 12.762425,      ,      ,0,          ,      ,      ,2, 1,2M,Simbad,11 11 56.28,+37 31 28.4
183-0001932, ,  -39.13,    7.46, 11.076, 10.441, 10.225, 13.961,1,          ,      ,      ,2, 20.049482,      ,      ,0, 1,2M,Simbad,11 22 55.14,+37 51 15.4
183-0002072, ,  -59.90,   -5.82, 11.187, 10.514, 10.328, 14.131,1,  1.049616,      ,      ,0,  1.049849,      ,      ,0, 1,2M,Simbad,11 03 52.02,+34 17 54.0
183-0002274, ,  -77.30,  -12.52, 11.352, 10.715, 10.517, 14.050,1,          ,      ,      ,2, 17.218135,      ,      ,0, 0,2M,Simbad,10 59 13.71,+37 32 42.7
183-0002754, ,  -46.94,    2.18, 11.584, 10.933, 10.724, 14.268,1,          ,      ,      ,2,  0.535948,      ,      ,0, 1,2M,Simbad,11 05 25.01,+36 52 36.3
183-0002938, ,  -37.76,  -36.61, 11.702, 11.060, 10.859, 14.656,1, 13.625542, 0.026, 0.014,0, 13.596982, 0.027, 0.014,0, 0,2M,Simbad,11 10 30.92,+40 26 55.7
183-0003007, , -117.30,    0.20, 11.799, 11.210, 11.013, 14.719,1,          ,      ,      ,2,  3.450727,      ,      ,0, 1,2M,Simbad,11 24 36.10,+34 59 02.1
183-0003058, ,  -37.16,  -11.50, 11.768, 11.112, 10.928, 14.774,1,  8.943767,      ,      ,0,  8.943767,      ,      ,0, 0,2M,Simbad,11 12 41.76,+38 49 02.8
183-0003111, ,  -69.66,  -48.37, 11.890, 11.314, 11.139, 14.168,2,  0.957719,      ,      ,0,  0.957671,      ,      ,0, 2,2M,Simbad,11 07 59.01,+36 03 34.7
183-0003679, ,  -27.89,  -14.36, 12.127, 11.476, 11.345, 14.435,1,          ,      ,      ,2,  1.519090,      ,      ,0, 0,2M,Simbad,11 23 34.29,+37 41 46.4
183-0003760, ,   28.42,   53.14, 12.069, 11.452, 11.235, 14.172,1,          ,      ,      ,2,  2.032780,      ,      ,0, 1,2M,Simbad,10 57 17.20,+37 24 11.7
183-0004253, , -101.41,   21.37, 12.217, 11.564, 11.347, 14.842,1,  2.568146, 0.085, 0.058,0,  2.568146, 0.085, 0.058,0, 1,2M,Simbad,11 20 07.88,+40 12 42.6
184-0000091,X, -159.42,  -34.77,  7.454,  6.918,  6.743,  9.778,0,          ,      ,      ,2, 29.282333, 0.008, 0.004,0, 0,2M,Simbad,11 31 36.41,+40 30 01.3
184-0000098,X,  440.40, -405.08,  7.425,  6.809,  6.611,  9.990,0, 23.189264,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,11 36 40.81,+39 11 27.0
184-0000321, , -136.36, -275.18,  8.679,  7.997,  7.785, 11.757,0, 41.240008,      ,      ,0, 40.978549,      ,      ,0, 0,2M,Simbad,11 33 28.67,+36 52 24.2
184-0000500, ,  380.34,   38.44,  9.289,  8.706,  8.454, 12.207,1,          ,      ,      ,2, 35.375222,      ,      ,1, 0,2M,Simbad,11 57 09.95,+37 17 38.8
184-0000504, ,  111.15,  -72.34,  9.372,  8.734,  8.572, 12.000,1, 18.677341,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,11 38 31.55,+38 47 34.4
184-0000582,X, -142.49,  -55.02,  9.512,  8.891,  8.705, 11.848,0,  1.446825,      ,      ,0,  1.446933,      ,      ,0, 1,2M,Simbad,11 33 52.77,+36 13 31.1
184-0000594, ,  -68.48,    8.59,  9.574,  8.950,  8.780, 11.441,1,  8.379011,      ,      ,0,  8.368163,      ,      ,0, 1,2M,Simbad,11 41 46.41,+38 06 57.0
184-0000615, , -202.78,   25.18,  9.549,  8.948,  8.716, 12.077,2, 20.968142,      ,      ,0, 20.968142,      ,      ,0, 0,2M,Simbad,11 30 10.62,+36 24 33.7
184-0000627, ,   20.85, -185.63,  9.641,  9.088,  8.856, 13.037,0, 55.689844,      ,      ,0, 56.666318,      ,      ,0, 0,2M,Simbad,11 34 00.29,+34 27 19.4
184-0000688, , -169.02, -191.41,  9.656,  9.041,  8.779, 13.023,1, 24.632721,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,11 48 00.64,+35 05 14.6
184-0000696, ,  -18.15,  -58.75,  9.820,  9.210,  9.040, 12.136,2,          ,      ,      ,2, 40.830818,      ,      ,1, 1,2M,Simbad,11 29 51.56,+36 30 37.5
184-0000739, ,   30.89,  -47.14,  9.856,  9.180,  9.022, 13.265,1,          ,      ,      ,2, 20.510828,      ,      ,1, 0,2M,Simbad,11 33 00.67,+38 39 57.9
184-0000741,X, -127.79,  -62.58,  9.826,  9.227,  8.992, 13.370,1,          ,      ,      ,2,  1.782552,      ,      ,1, 0,2M,Simbad,11 29 52.35,+36 06 41.5
184-0000766, , -104.14,   -3.30,  9.882,  9.240,  9.047, 12.902,1, 13.596958, 0.023, 0.012,0, 13.613171, 0.022, 0.012,0, 0,2M,Simbad,11 34 37.55,+40 17 38.7
184-0000818,X,  -92.54,   18.56,  9.962,  9.354,  9.128, 13.643,1,  2.692668,      ,      ,0,          ,      ,      ,2, 0,2M,Simbad,11 52 57.16,+35 54 45.9
184-0000855, ,  116.63, -124.61, 10.011,  9.403,  9.175, 13.280,1,          ,      ,      ,2, 33.152835,      ,      ,0, 0,2M,Simbad,11 57 35.54,+41 00 52.9
184-0001011, ,  -36.32,   39.77, 10.363,  9.735,  9.581, 12.616,1,  7.655782, 0.009, 0.005,0,  7.654756, 0.009, 0.005,0, 0,2M,Simbad,11 45 12.77,+40 33 33.1
184-0001019, ,  -91.64,  -34.44, 10.262,  9.571,  9.388, 13.457,1,          ,      ,      ,2, 38.231507,      ,      ,1, 0,2M,Simbad,11 34 44.89,+37 39 02.3
184-0001037, , -181.97,  -19.32, 10.307,  9.700,  9.471, 13.767,1,          ,      ,      ,2,  1.720370,      ,      ,0, 0,2M,Simbad,11 33 39.23,+35 43 44.5
184-0001077, ,  -72.97,  -28.15, 10.369,  9.699,  9.527, 12.852,2,          ,      ,      ,2, 12.263311,      ,      ,0, 0,2M,Simbad,11 47 18.95,+38 18 23.2
184-0001174, ,  -75.78,  -12.45, 10.496,  9.875,  9.666, 13.615,1,  3.712683, 0.028, 0.013,0,  3.676812, 0.034, 0.016,0, 0,2M,Simbad,11 46 51.87,+39 40 56.9
184-0001398, ,  -63.30,  -11.19, 10.696, 10.042,  9.832, 13.448,1,  0.684107, 0.074, 0.063,0,  0.684099, 0.074, 0.063,0, 1,2M,Simbad,11 38 25.85,+39 51 23.0
184-0001466, , -133.53,  -89.85, 10.723, 10.015,  9.823, 14.128,1,          ,      ,      ,2, 39.131833,      ,      ,1, 0,2M,Simbad,11 28 25.73,+39 09 53.9
184-0001612, ,  -80.19,   19.32, 11.008, 10.346, 10.231, 13.287,1,          ,      ,      ,2,  4.273288,      ,      ,0, 0,2M,Simbad,11 50 12.61,+36 45 34.5
184-0002062,X,   39.53, -133.36, 11.221, 10.609, 10.369, 14.835,1,  1.369654, 0.053, 0.040,0,  0.684140, 0.032, 0.026,0, 1,2M,Simbad,11 46 09.00,+40 01 52.2
184-0003113, ,  -32.75,  -31.95, 11.881, 11.213, 11.059, 14.016,1,          ,      ,      ,2,  1.901472, 0.052, 0.041,0, 0,2M,Simbad,11 32 17.96,+40 23 15.1
184-0003191, ,  -32.85,   22.78, 11.848, 11.237, 11.001, 14.806,1, 12.465740,      ,      ,0,          ,      ,      ,2, 1,2M,Simbad,11 32 29.77,+39 04 10.3
184-0003518, ,  -75.53,  -17.00, 12.081, 11.411, 11.274, 14.656,1,          ,      ,      ,2,  7.194529,      ,      ,0, 0,2M,Simbad,11 39 37.53,+34 10 46.8
184-0003788, ,  -31.70,   34.64, 12.185, 11.573, 11.388, 14.291,1,  0.425880,      ,      ,0,  0.425828,      ,      ,0, 1,2M,Simbad,11 29 13.09,+38 22 44.6
185-0000251, , -106.19,  -35.34,  8.621,  8.028,  7.829, 10.873,0, 12.212006,      ,      ,0, 11.959392,      ,      ,0, 0,2M,Simbad,12 21 24.85,+34 02 43.4
185-0000334,X, -126.94,  -45.18,  8.989,  8.305,  8.161, 11.434,1,  1.750716,      ,      ,0,  1.749770,      ,      ,0, 0,2M,Simbad,12 11 52.06,+39 57 28.9
185-0000390,X, -158.13,   -8.63,  9.140,  8.467,  8.288, 12.069,1, 10.082350,      ,      ,0, 10.076075,      ,      ,0, 0,2M,Simbad,12 24 48.31,+40 43 37.4
185-0000428, , -144.22,   -1.01,  9.249,  8.577,  8.394, 11.893,1, 27.179866,      ,      ,0, 27.225577,      ,      ,0, 1,2M,Simbad,12 16 24.46,+35 41 45.1
185-0000460, ,  -97.21,  -45.39,  9.359,  8.694,  8.520, 11.958,1, 14.802717,      ,      ,0, 14.802717,      ,      ,0, 1,2M,Simbad,12 30 28.30,+39 21 01.4
185-0000543, ,  -72.65,   36.07,  9.624,  8.999,  8.833, 12.118,1,          ,      ,      ,2, 20.606272,      ,      ,0, 0,2M,Simbad,12 12 02.55,+40 22 19.5
185-0000708, ,   44.53,  -11.63,  9.882,  9.239,  9.026, 12.707,1, 22.433895,      ,      ,0, 22.433895,      ,      ,0, 0,2M,Simbad,12 30 00.71,+35 50 47.2
185-0000928, ,  -91.19,    9.39, 10.285,  9.651,  9.461, 12.850,1, 35.846726,      ,      ,0, 36.411123,      ,      ,0, 0,2M,Simbad,12 07 18.67,+33 50 10.0
185-0001021,X,  -39.55,  -19.51, 10.495,  9.827,  9.716, 13.152,1,  0.407633,      ,      ,0,  0.407633,      ,      ,0, 0,2M,Simbad,12 29 39.64,+34 49 01.2
185-0001064, ,   28.13,  -31.71, 10.475,  9.808,  9.650, 13.248,1, 29.889854,      ,      ,0, 29.347972,      ,      ,0, 0,2M,Simbad,12 30 37.61,+36 10 12.8
185-0001505, ,  -55.96,   11.41, 10.975, 10.371, 10.206, 13.340,1,          ,      ,      ,2, 15.955311,      ,      ,0, 0,2M,Simbad,12 31 14.15,+35 06 30.4
185-0001711, ,  -47.84,  -15.49, 10.989, 10.291, 10.104, 13.901,1, 10.228878,      ,      ,0, 10.228878,      ,      ,0, 2,2M,Simbad,12 06 35.16,+40 59 21.2
185-0001765, ,   71.29,  -23.32, 11.095, 10.457, 10.270, 14.476,1,          ,      ,      ,2,  0.694506,      ,      ,0, 0,2M,Simbad,12 05 02.30,+40 43 53.4
185-0001938, , -116.71,   28.59, 11.153, 10.516, 10.267, 14.453,1,          ,      ,      ,2,  2.163153,      ,      ,0, 0,2M,Simbad,12 13 22.73,+36 56 24.9
185-0001999, , -164.27,   50.63, 11.226, 10.635, 10.368, 14.896,1,          ,      ,      ,2, 38.397527,      ,      ,1, 1,2M,Simbad,12 30 58.57,+40 48 56.7
185-0002231, ,  -43.20,   -1.51, 11.408, 10.748, 10.555, 13.946,1,          ,      ,      ,2, 18.362379,      ,      ,0, 0,2M,Simbad,12 28 36.83,+38 17 51.2
185-0002297, , -140.26,  -22.28, 11.423, 10.800, 10.565, 14.503,1,          ,      ,      ,2, 40.110030,      ,      ,1, 1,2M,Simbad,12 27 34.43,+40 56 40.0
185-0002423, ,  -32.42,   28.44, 11.621, 11.011, 10.853, 14.030,1,          ,      ,      ,2, 13.924175,      ,      ,0, 0,2M,Simbad,12 29 22.29,+38 06 51.8
185-0002453, ,  -12.29,  -94.39, 11.469, 10.764, 10.560, 14.377,1,  0.161698,      ,      ,0,  0.161700,      ,      ,0, 0,2M,Simbad,12 09 10.77,+34 54 34.4
185-0002896, ,   -7.82,  -50.47, 11.845, 11.179, 11.031, 14.795,1,          ,      ,      ,2,  8.472186,      ,      ,0, 1,2M,Simbad,12 00 51.07,+38 49 56.0
185-0002965, ,  -33.39,   -5.02, 11.907, 11.260, 11.115, 14.265,1, 12.427634,      ,      ,0, 12.582184,      ,      ,0, 0,2M,Simbad,12 11 32.57,+41 02 16.3
185-0003033, ,  -37.45,   -5.05, 11.914, 11.262, 11.107, 14.135,1,          ,      ,      ,2,  4.545201,      ,      ,0, 1,2M,Simbad,12 15 05.25,+39 48 46.8
185-0003120, ,  -29.71,   13.43, 11.944, 11.288, 11.127, 14.334,1,          ,      ,      ,2, 14.966949,      ,      ,0, 1,2M,Simbad,12 13 10.03,+39 47 37.0
185-0003435, ,  -80.01,  -61.83, 12.113, 11.486, 11.323, 14.638,1, 13.251671,      ,      ,0, 13.317080,      ,      ,0, 0,2M,Simbad,12 16 42.33,+38 24 22.2
185-0003617, ,    5.73,  -52.53, 12.105, 11.459, 11.247, 14.199,1, 28.321090,      ,      ,1, 28.321090,      ,      ,1, 0,2M,Simbad,12 15 48.84,+36 22 20.1
185-0003735, , -134.55,   -5.14, 12.250, 11.605, 11.458, 14.445,1,          ,      ,      ,2, 94.340002,      ,      ,1, 0,2M,Simbad,12 23 42.63,+37 10 16.2
185-0003739, ,   13.22,  -76.03, 12.206, 11.592, 11.392, 15.043,1,          ,      ,      ,2, 40.010893,      ,      ,1, 0,2M,Simbad,12 20 02.15,+34 17 03.0
185-0003767, ,  -30.91,  -60.71, 12.269, 11.608, 11.479, 14.590,2, 10.780651,      ,      ,0, 10.752010,      ,      ,0, 0,2M,Simbad,12 02 03.83,+37 17 37.7
185-0003961, ,  -81.46,   17.27, 12.273, 11.620, 11.438, 14.810,1,          ,      ,      ,2, 41.339162,      ,      ,1, 0,2M,Simbad,12 27 56.74,+35 07 24.7
185-0004291, ,  -59.04,  -61.52, 12.363, 11.665, 11.485, 14.876,1,          ,      ,      ,2, 38.397527,      ,      ,1, 0,2M,Simbad,12 19 08.59,+38 18 54.3
185-0004387, ,   10.64,  -33.64, 12.479, 11.833, 11.670, 14.556,1, 10.555702,      ,      ,0, 10.569486,      ,      ,0, 0,2M,Simbad,12 07 56.06,+34 15 54.6
185-0004490, ,  -94.96,    0.20, 12.485, 11.872, 11.664, 15.043,1, 94.340002,      ,      ,1, 94.340002,      ,      ,1, 0,2M,Simbad,12 22 07.18,+36 20 11.7
185-0005726, ,  -32.79,   24.35, 12.884, 12.261, 12.061, 15.023,1,          ,      ,      ,2, 94.340002,      ,      ,1, 0,2M,Simbad,12 17 28.93,+34 55 46.1
185-0007702, ,  -43.98,   17.87, 13.434, 12.833, 12.672, 14.938,1,  0.116737,      ,      ,0,  0.116729,      ,      ,0, 2,2M,Simbad,12 06 41.29,+35 15 33.2
186-0001506, , -121.22,   49.10, 10.842, 10.276, 10.039, 14.438,1, 46.042221,      ,      ,1,          ,      ,      ,2, 0,2M,Simbad,12 32 19.31,+41 01 10.7
